IDHM 2010,CodMunIBGE
0.641,1100015
0.702,1100023
0.65,1100031
0.718,1100049
0.692,1100056
0.685,1100064
0.613,1100072
0.611,1100080
0.672,1100098
0.657,1100106
0.689,1100114
0.714,1100122
0.596,1100130
0.643,1100148
0.682,1100155
0.71,1100189
0.736,1100205
0.664,1100254
0.643,1100262
0.7,1100288
0.67,1100296
0.731,1100304
0.646,1100320
0.587,1100338
0.643,1100346
0.592,1100379
0.625,1100403
0.616,1100452
0.634,1100502
0.646,1100601
0.593,1100700
0.649,1100809
0.658,1100908
0.652,1100924
0.612,1100940
0.596,1101005
0.614,1101104
0.638,1101203
0.643,1101302
0.607,1101401
0.587,1101435
0.617,1101450
0.665,1101468
0.641,1101476
0.649,1101484
0.611,1101492
0.598,1101500
0.643,1101559
0.589,1101609
0.609,1101708
0.584,1101757
0.627,1101807
0.604,1200013
0.588,1200054
0.614,1200104
0.589,1200138
0.575,1200179
0.664,1200203
0.653,1200252
0.539,1200302
0.469,1200328
0.625,1200336
0.551,1200344
0.501,1200351
0.622,1200385
0.532,1200393
0.727,1200401
0.567,1200427
0.517,1200435
0.64,1200450
0.603,1200500
0.539,1200609
0.599,1200708
0.576,1200807
0.527,1300029
0.56,1300060
0.594,1300086
0.561,1300102
0.637,1300144
0.45,1300201
0.577,1300300
0.5,1300409
0.574,1300508
0.574,1300607
0.506,1300631
0.565,1300680
0.588,1300706
0.56,1300805
0.569,1300839
0.53,1300904
0.549,1301001
0.557,1301100
0.568,1301159
0.586,1301209
0.563,1301308
0.563,1301407
0.509,1301506
0.53,1301605
0.532,1301654
0.605,1301704
0.481,1301803
0.613,1301852
0.644,1301902
0.477,1301951
0.654,1302009
0.522,1302108
0.522,1302207
0.516,1302306
0.531,1302405
0.614,1302504
0.596,1302553
0.737,1302603
0.582,1302702
0.498,1302801
0.588,1302900
0.586,1303007
0.558,1303106
0.57,1303205
0.554,1303304
0.658,1303403
0.496,1303502
0.647,1303536
0.611,1303569
0.479,1303601
0.49,1303700
0.609,1303809
0.521,1303908
0.577,1303957
0.632,1304005
0.616,1304062
0.502,1304104
0.639,1304203
0.548,1304237
0.527,1304260
0.62,1304302
0.588,1304401
0.484,1400027
0.542,1400050
0.752,1400100
0.626,1400159
0.619,1400175
0.624,1400209
0.639,1400233
0.582,1400282
0.665,1400308
0.594,1400407
0.65,1400456
0.619,1400472
0.655,1400506
0.649,1400605
0.453,1400704
0.628,1500107
0.622,1500131
0.506,1500206
0.489,1500305
0.564,1500347
0.564,1500404
0.642,1500503
0.665,1500602
0.484,1500701
0.718,1500800
0.548,1500859
0.52,1500909
0.519,1500958
0.541,1501006
0.471,1501105
0.578,1501204
0.594,1501253
0.662,1501303
0.746,1501402
0.588,1501451
0.665,1501501
0.589,1501576
0.546,1501600
0.6,1501709
0.613,1501725
0.591,1501758
0.568,1501782
0.503,1501808
0.552,1501907
0.473,1501956
0.546,1502004
0.577,1502103
0.673,1502152
0.655,1502202
0.548,1502301
0.673,1502400
0.453,1502509
0.602,1502608
0.64,1502707
0.566,1502756
0.55,1502764
0.636,1502772
0.502,1502806
0.578,1502855
0.582,1502905
0.615,1502939
0.56,1502954
0.563,1503002
0.583,1503044
0.526,1503077
0.56,1503093
0.509,1503101
0.595,1503200
0.547,1503309
0.572,1503408
0.489,1503457
0.559,1503507
0.64,1503606
0.528,1503705
0.505,1503754
0.622,1503804
0.592,1503903
0.541,1504000
0.599,1504059
0.597,1504109
0.668,1504208
0.57,1504307
0.609,1504406
0.676,1504422
0.582,1504455
0.418,1504505
0.575,1504604
0.547,1504703
0.589,1504802
0.547,1504901
0.502,1504950
0.581,1504976
0.609,1505007
0.673,1505031
0.537,1505064
0.594,1505106
0.507,1505205
0.623,1505304
0.568,1505403
0.624,1505437
0.515,1505486
0.589,1505494
0.645,1505502
0.715,1505536
0.574,1505551
0.581,1505601
0.563,1505635
0.552,1505650
0.562,1505700
0.483,1505809
0.503,1505908
0.523,1506005
0.577,1506104
0.543,1506112
0.672,1506138
0.638,1506161
0.602,1506187
0.548,1506195
0.647,1506203
0.608,1506302
0.627,1506351
0.557,1506401
0.659,1506500
0.546,1506559
0.544,1506583
0.598,1506609
0.602,1506708
0.691,1506807
0.587,1506906
0.632,1507003
0.585,1507102
0.594,1507151
0.532,1507201
0.594,1507300
0.608,1507409
0.595,1507458
0.583,1507466
0.539,1507474
0.55,1507508
0.591,1507607
0.558,1507706
0.59,1507755
0.514,1507805
0.615,1507904
0.588,1507953
0.605,1507961
0.635,1507979
0.586,1508001
0.531,1508035
0.562,1508050
0.659,1508084
0.666,1508100
0.604,1508126
0.589,1508159
0.617,1508209
0.515,1508308
0.596,1508357
0.646,1508407
0.709,1600055
0.642,1600105
0.626,1600154
0.643,1600204
0.628,1600212
0.656,1600238
0.576,1600253
0.665,1600279
0.733,1600303
0.592,1600402
0.658,1600501
0.64,1600535
0.614,1600550
0.692,1600600
0.592,1600709
0.619,1600808
0.665,1700251
0.657,1700301
0.663,1700350
0.636,1700400
0.708,1700707
0.671,1701002
0.648,1701051
0.651,1701101
0.593,1701309
0.639,1701903
0.675,1702000
0.752,1702109
0.604,1702158
0.631,1702208
0.68,1702307
0.651,1702406
0.67,1702554
0.677,1702703
0.627,1702901
0.642,1703008
0.638,1703057
0.603,1703073
0.642,1703107
0.638,1703206
0.66,1703305
0.684,1703602
0.686,1703701
0.627,1703800
0.627,1703826
0.544,1703842
0.662,1703867
0.64,1703883
0.594,1703891
0.658,1703909
0.569,1704105
0.619,1704600
0.62,1705102
0.701,1705508
0.697,1705557
0.592,1705607
0.605,1706001
0.673,1706100
0.644,1706258
0.581,1706506
0.701,1707009
0.683,1707108
0.583,1707207
0.679,1707306
0.57,1707405
0.697,1707553
0.689,1707652
0.621,1707702
0.67,1708205
0.659,1708254
0.621,1708304
0.576,1709005
0.741,1709302
0.759,1709500
0.62,1709807
0.612,1710508
0.616,1710706
0.601,1710904
0.65,1711100
0.662,1711506
0.584,1711803
0.627,1711902
0.579,1711951
0.675,1712009
0.66,1712157
0.57,1712405
0.639,1712454
0.631,1712504
0.607,1712702
0.58,1712801
0.684,1713205
0.662,1713304
0.622,1713601
0.62,1713700
0.628,1713809
0.596,1713957
0.673,1714203
0.643,1714302
0.631,1714880
0.661,1715002
0.639,1715101
0.699,1715150
0.596,1715259
0.675,1715507
0.571,1715705
0.673,1715754
0.764,1716109
0.595,1716208
0.661,1716307
0.732,1716505
0.674,1716604
0.627,1716653
0.671,1716703
0.605,1717008
0.621,1717206
0.65,1717503
0.603,1717800
0.624,1717909
0.645,1718006
0.74,1718204
0.583,1718303
0.669,1718402
0.669,1718451
0.5,1718501
0.572,1718550
0.608,1718659
0.616,1718709
0.6,1718758
0.606,1718808
0.659,1718840
0.616,1718865
0.634,1718881
0.651,1718899
0.595,1718907
0.662,1719004
0.637,1720002
0.605,1720101
0.574,1720150
0.623,1720200
0.605,1720259
0.573,1720309
0.643,1720499
0.675,1720655
0.604,1720804
0.667,1720853
0.634,1720903
0.601,1720937
0.654,1720978
0.788,1721000
0.589,1721109
0.681,1721208
0.67,1721257
0.587,1721307
0.638,1722081
0.671,1722107
0.672,2100055
0.529,2100105
0.5,2100154
0.573,2100204
0.513,2100303
0.549,2100402
0.554,2100436
0.558,2100477
0.633,2100501
0.52,2100550
0.555,2100600
0.581,2100709
0.581,2100808
0.568,2100832
0.533,2100873
0.521,2100907
0.512,2100956
0.626,2101004
0.641,2101103
0.651,2101202
0.629,2101251
0.578,2101301
0.537,2101350
0.687,2101400
0.592,2101509
0.606,2101608
0.57,2101707
0.512,2101731
0.554,2101772
0.546,2101806
0.601,2101905
0.604,2101939
0.545,2101970
0.538,2102002
0.558,2102036
0.562,2102077
0.562,2102101
0.519,2102150
0.548,2102200
0.59,2102309
0.556,2102325
0.583,2102358
0.537,2102374
0.553,2102408
0.523,2102507
0.652,2102556
0.561,2102606
0.565,2102705
0.537,2102754
0.634,2102804
0.574,2102903
0.624,2103000
0.605,2103109
0.585,2103125
0.542,2103158
0.518,2103174
0.604,2103208
0.6,2103257
0.595,2103307
0.564,2103406
0.596,2103505
0.512,2103554
0.576,2103604
0.612,2103703
0.607,2103752
0.622,2103802
0.533,2103901
0.586,2104008
0.659,2104057
0.532,2104073
0.443,2104081
0.556,2104099
0.616,2104107
0.58,2104206
0.604,2104305
0.568,2104404
0.565,2104503
0.629,2104552
0.572,2104602
0.544,2104628
0.521,2104651
0.569,2104677
0.57,2104701
0.609,2104800
0.625,2104909
0.535,2105005
0.546,2105104
0.569,2105153
0.614,2105203
0.731,2105302
0.518,2105351
0.599,2105401
0.63,2105427
0.561,2105450
0.49,2105476
0.641,2105500
0.561,2105609
0.552,2105658
0.589,2105708
0.581,2105807
0.557,2105906
0.566,2105922
0.602,2105948
0.502,2105963
0.589,2105989
0.581,2106003
0.582,2106102
0.588,2106201
0.567,2106300
0.582,2106326
0.452,2106359
0.55,2106375
0.57,2106409
0.619,2106508
0.55,2106607
0.533,2106631
0.527,2106672
0.545,2106706
0.61,2106755
0.622,2106805
0.546,2106904
0.575,2107001
0.548,2107100
0.585,2107209
0.566,2107258
0.584,2107308
0.581,2107357
0.589,2107407
0.575,2107456
0.724,2107506
0.556,2107605
0.58,2107704
0.542,2107803
0.532,2107902
0.61,2108009
0.561,2108058
0.549,2108108
0.682,2108207
0.516,2108256
0.554,2108306
0.599,2108405
0.564,2108454
0.633,2108504
0.637,2108603
0.541,2108702
0.576,2108801
0.576,2108900
0.684,2109007
0.615,2109056
0.653,2109106
0.563,2109205
0.591,2109239
0.557,2109270
0.587,2109304
0.512,2109403
0.626,2109452
0.576,2109502
0.615,2109551
0.632,2109601
0.565,2109700
0.525,2109759
0.571,2109809
0.674,2109908
0.55,2110005
0.599,2110039
0.555,2110104
0.609,2110203
0.51,2110237
0.518,2110278
0.566,2110302
0.541,2110401
0.602,2110500
0.572,2110609
0.59,2110658
0.582,2110708
0.557,2110807
0.584,2110856
0.528,2110906
0.598,2111003
0.509,2111029
0.609,2111052
0.517,2111078
0.615,2111102
0.708,2111201
0.557,2111250
0.768,2111300
0.54,2111409
0.616,2111508
0.605,2111532
0.6,2111573
0.61,2111607
0.516,2111631
0.516,2111672
0.592,2111706
0.493,2111722
0.538,2111748
0.602,2111763
0.519,2111789
0.564,2111805
0.579,2111904
0.568,2111953
0.599,2112001
0.537,2112100
0.649,2112209
0.606,2112233
0.555,2112274
0.572,2112308
0.561,2112407
0.536,2112456
0.561,2112506
0.588,2112605
0.542,2112704
0.618,2112803
0.581,2112852
0.596,2112902
0.57,2113009
0.595,2114007
0.528,2200053
0.599,2200103
0.639,2200202
0.531,2200251
0.585,2200277
0.585,2200301
0.614,2200400
0.578,2200459
0.598,2200509
0.63,2200608
0.594,2200707
0.62,2200806
0.583,2200905
0.519,2200954
0.56,2201002
0.499,2201051
0.554,2201101
0.564,2201150
0.577,2201176
0.595,2201200
0.557,2201309
0.612,2201408
0.545,2201507
0.576,2201556
0.551,2201572
0.557,2201606
0.612,2201705
0.489,2201739
0.575,2201770
0.632,2201804
0.668,2201903
0.532,2201919
0.542,2201929
0.56,2201945
0.577,2201960
0.515,2201988
0.565,2202000
0.574,2202026
0.583,2202059
0.562,2202075
0.546,2202083
0.588,2202091
0.544,2202109
0.537,2202117
0.56,2202133
0.528,2202174
0.656,2202208
0.583,2202251
0.576,2202307
0.583,2202406
0.553,2202455
0.552,2202505
0.505,2202539
0.541,2202554
0.587,2202604
0.488,2202653
0.497,2202703
0.555,2202711
0.498,2202729
0.565,2202737
0.628,2202752
0.588,2202778
0.589,2202802
0.546,2202851
0.642,2202901
0.573,2203008
0.566,2203107
0.607,2203206
0.542,2203230
0.555,2203255
0.527,2203271
0.618,2203305
0.561,2203354
0.601,2203404
0.55,2203420
0.549,2203453
0.58,2203503
0.595,2203602
0.605,2203701
0.548,2203750
0.547,2203800
0.538,2203859
0.7,2203909
0.564,2204006
0.577,2204105
0.553,2204154
0.608,2204204
0.619,2204303
0.561,2204352
0.548,2204402
0.65,2204501
0.508,2204550
0.599,2204600
0.563,2204659
0.624,2204709
0.63,2204808
0.582,2204907
0.541,2205003
0.583,2205102
0.535,2205151
0.524,2205201
0.593,2205250
0.566,2205276
0.591,2205300
0.561,2205359
0.522,2205409
0.504,2205458
0.618,2205508
0.57,2205516
0.582,2205524
0.555,2205532
0.597,2205540
0.55,2205557
0.502,2205565
0.529,2205573
0.583,2205581
0.541,2205599
0.584,2205607
0.541,2205706
0.545,2205805
0.563,2205854
0.573,2205904
0.562,2205953
0.59,2206001
0.525,2206050
0.562,2206100
0.539,2206209
0.623,2206308
0.508,2206357
0.615,2206407
0.561,2206506
0.578,2206605
0.542,2206654
0.55,2206670
0.53,2206696
0.576,2206704
0.586,2206753
0.533,2206803
0.562,2206902
0.528,2206951
0.634,2207009
0.576,2207108
0.541,2207207
0.575,2207306
0.559,2207355
0.557,2207405
0.562,2207504
0.509,2207553
0.575,2207603
0.687,2207702
0.561,2207751
0.563,2207777
0.514,2207793
0.6,2207801
0.526,2207850
0.571,2207900
0.562,2207934
0.554,2207959
0.698,2208007
0.566,2208106
0.564,2208205
0.596,2208304
0.635,2208403
0.549,2208502
0.563,2208551
0.565,2208601
0.515,2208650
0.589,2208700
0.591,2208809
0.541,2208858
0.52,2208874
0.601,2208908
0.572,2209005
0.601,2209104
0.577,2209153
0.544,2209203
0.588,2209302
0.574,2209351
0.567,2209377
0.584,2209401
0.619,2209450
0.613,2209500
0.596,2209559
0.61,2209609
0.485,2209658
0.57,2209708
0.56,2209757
0.616,2209807
0.559,2209856
0.515,2209872
0.582,2209906
0.559,2209955
0.523,2209971
0.645,2210003
0.565,2210052
0.573,2210102
0.552,2210201
0.594,2210300
0.595,2210359
0.554,2210375
0.563,2210383
0.535,2210391
0.556,2210409
0.595,2210508
0.661,2210607
0.536,2210623
0.562,2210631
0.581,2210656
0.575,2210706
0.627,2210805
0.561,2210904
0.586,2210938
0.501,2210953
0.579,2210979
0.751,2211001
0.577,2211100
0.631,2211209
0.647,2211308
0.553,2211357
0.571,2211407
0.503,2211506
0.565,2211605
0.544,2211704
0.628,2300101
0.606,2300150
0.601,2300200
0.595,2300309
0.569,2300408
0.6,2300507
0.602,2300606
0.601,2300705
0.606,2300754
0.599,2300804
0.618,2300903
0.641,2301000
0.655,2301109
0.615,2301208
0.59,2301257
0.564,2301307
0.622,2301406
0.618,2301505
0.6,2301604
0.605,2301703
0.627,2301802
0.606,2301851
0.683,2301901
0.616,2301950
0.599,2302008
0.571,2302057
0.619,2302107
0.638,2302206
0.623,2302305
0.598,2302404
0.647,2302503
0.62,2302602
0.63,2302701
0.612,2302800
0.611,2302909
0.592,2303006
0.596,2303105
0.578,2303204
0.597,2303303
0.593,2303402
0.646,2303501
0.618,2303600
0.609,2303659
0.682,2303709
0.627,2303808
0.586,2303907
0.585,2303931
0.604,2303956
0.61,2304004
0.644,2304103
0.713,2304202
0.59,2304236
0.632,2304251
0.609,2304269
0.61,2304277
0.701,2304285
0.633,2304301
0.644,2304350
0.754,2304400
0.624,2304459
0.604,2304509
0.568,2304608
0.57,2304657
0.559,2304707
0.585,2304806
0.633,2304905
0.617,2304954
0.609,2305001
0.637,2305100
0.597,2305209
0.658,2305233
0.577,2305266
0.608,2305308
0.606,2305332
0.616,2305357
0.606,2305407
0.677,2305506
0.632,2305605
0.579,2305654
0.606,2305704
0.618,2305803
0.573,2305902
0.652,2306009
0.605,2306108
0.656,2306207
0.626,2306256
0.623,2306306
0.64,2306405
0.604,2306504
0.606,2306553
0.562,2306603
0.612,2306702
0.618,2306801
0.621,2306900
0.624,2307007
0.614,2307106
0.651,2307205
0.652,2307254
0.694,2307304
0.598,2307403
0.613,2307502
0.682,2307601
0.61,2307635
0.686,2307650
0.659,2307700
0.612,2307809
0.599,2307908
0.616,2308005
0.605,2308104
0.618,2308203
0.628,2308302
0.626,2308351
0.592,2308377
0.622,2308401
0.582,2308500
0.61,2308609
0.61,2308708
0.581,2308807
0.588,2308906
0.607,2309003
0.607,2309102
0.625,2309201
0.614,2309300
0.605,2309409
0.594,2309458
0.636,2309508
0.659,2309607
0.675,2309706
0.635,2309805
0.621,2309904
0.638,2310001
0.622,2310100
0.637,2310209
0.634,2310258
0.57,2310308
0.583,2310407
0.603,2310506
0.646,2310605
0.629,2310704
0.601,2310803
0.636,2310852
0.6,2310902
0.591,2310951
0.581,2311009
0.622,2311108
0.562,2311207
0.604,2311231
0.594,2311264
0.659,2311306
0.591,2311355
0.642,2311405
0.622,2311504
0.626,2311603
0.601,2311702
0.674,2311801
0.575,2311900
0.54,2311959
0.587,2312007
0.612,2312106
0.616,2312205
0.611,2312304
0.665,2312403
0.654,2312502
0.62,2312601
0.619,2312700
0.603,2312809
0.714,2312908
0.625,2313005
0.645,2313104
0.58,2313203
0.576,2313252
0.633,2313302
0.584,2313351
0.657,2313401
0.606,2313500
0.606,2313559
0.648,2313609
0.591,2313708
0.587,2313757
0.639,2313807
0.566,2313906
0.611,2313955
0.629,2314003
0.571,2314102
0.679,2400109
0.661,2400208
0.585,2400307
0.616,2400406
0.606,2400505
0.624,2400604
0.672,2400703
0.624,2400802
0.578,2400901
0.639,2401008
0.682,2401107
0.606,2401206
0.621,2401305
0.609,2401404
0.574,2401453
0.566,2401503
0.582,2401602
0.629,2401651
0.584,2401701
0.592,2401800
0.574,2401859
0.587,2401909
0.71,2402006
0.626,2402105
0.579,2402204
0.638,2402303
0.659,2402402
0.589,2402501
0.616,2402600
0.607,2402709
0.587,2402808
0.578,2402907
0.654,2403004
0.691,2403103
0.621,2403202
0.766,2403251
0.629,2403301
0.623,2403400
0.558,2403509
0.66,2403608
0.636,2403707
0.597,2403756
0.642,2403806
0.606,2403905
0.597,2404002
0.564,2404101
0.638,2404200
0.592,2404309
0.664,2404408
0.626,2404507
0.55,2404606
0.603,2404705
0.679,2404804
0.624,2404853
0.614,2404903
0.604,2405009
0.569,2405108
0.615,2405207
0.574,2405306
0.569,2405405
0.565,2405504
0.603,2405603
0.663,2405702
0.595,2405801
0.53,2405900
0.608,2406007
0.601,2406106
0.595,2406155
0.601,2406205
0.553,2406304
0.589,2406403
0.585,2406502
0.582,2406601
0.624,2406700
0.625,2406809
0.646,2406908
0.608,2407005
0.64,2407104
0.665,2407203
0.617,2407252
0.609,2407302
0.622,2407401
0.608,2407500
0.644,2407609
0.557,2407708
0.609,2407807
0.598,2407906
0.72,2408003
0.763,2408102
0.622,2408201
0.629,2408300
0.585,2408409
0.645,2408508
0.589,2408607
0.603,2408706
0.549,2408805
0.676,2408904
0.569,2408953
0.606,2409100
0.589,2409209
0.618,2409308
0.59,2409332
0.678,2409407
0.559,2409506
0.558,2409605
0.583,2409704
0.568,2409803
0.631,2409902
0.614,2410009
0.587,2410108
0.621,2410207
0.59,2410256
0.563,2410306
0.567,2410405
0.608,2410504
0.654,2410603
0.584,2410702
0.591,2410801
0.592,2410900
0.604,2411007
0.635,2411056
0.605,2411106
0.635,2411205
0.591,2411403
0.642,2411429
0.62,2411502
0.555,2411601
0.595,2411700
0.608,2411809
0.628,2411908
0.661,2412005
0.655,2412104
0.611,2412203
0.615,2412302
0.694,2412401
0.606,2412500
0.591,2412559
0.622,2412609
0.589,2412708
0.611,2412807
0.585,2412906
0.642,2413003
0.583,2413102
0.57,2413201
0.582,2413300
0.614,2413359
0.597,2413409
0.592,2413508
0.598,2413557
0.604,2413607
0.572,2413706
0.612,2413805
0.569,2413904
0.608,2414001
0.592,2414100
0.623,2414159
0.645,2414209
0.64,2414308
0.572,2414407
0.602,2414456
0.618,2414506
0.596,2414605
0.626,2414704
0.555,2414753
0.587,2414803
0.592,2414902
0.576,2415008
0.572,2500106
0.597,2500205
0.582,2500304
0.576,2500403
0.595,2500502
0.578,2500536
0.548,2500577
0.582,2500601
0.608,2500700
0.606,2500734
0.578,2500775
0.549,2500809
0.548,2500908
0.567,2501005
0.594,2501104
0.562,2501153
0.608,2501203
0.548,2501302
0.609,2501351
0.581,2501401
0.568,2501500
0.558,2501534
0.567,2501575
0.562,2501609
0.572,2501708
0.649,2501807
0.592,2501906
0.578,2502003
0.558,2502052
0.599,2502102
0.649,2502151
0.597,2502201
0.592,2502300
0.574,2502409
0.607,2502508
0.61,2502607
0.558,2502706
0.597,2502805
0.619,2502904
0.602,2503001
0.611,2503100
0.748,2503209
0.587,2503308
0.596,2503407
0.564,2503506
0.523,2503555
0.592,2503605
0.679,2503704
0.55,2503753
0.568,2503803
0.567,2503902
0.72,2504009
0.533,2504033
0.585,2504074
0.603,2504108
0.514,2504157
0.574,2504207
0.64,2504306
0.623,2504355
0.592,2504405
0.594,2504504
0.618,2504603
0.581,2504702
0.592,2504801
0.641,2504850
0.552,2504900
0.566,2505006
0.591,2505105
0.57,2505204
0.524,2505238
0.529,2505279
0.606,2505303
0.521,2505352
0.58,2505402
0.566,2505501
0.593,2505600
0.545,2505709
0.603,2505808
0.595,2505907
0.623,2506004
0.56,2506103
0.641,2506202
0.513,2506251
0.673,2506301
0.556,2506400
0.625,2506509
0.586,2506608
0.557,2506707
0.592,2506806
0.613,2506905
0.615,2507002
0.564,2507101
0.562,2507200
0.558,2507309
0.603,2507408
0.763,2507507
0.579,2507606
0.567,2507705
0.617,2507804
0.548,2507903
0.57,2508000
0.563,2508109
0.57,2508208
0.627,2508307
0.533,2508406
0.566,2508505
0.583,2508554
0.583,2508604
0.542,2508703
0.642,2508802
0.585,2508901
0.543,2509008
0.529,2509057
0.548,2509107
0.608,2509156
0.567,2509206
0.536,2509305
0.541,2509339
0.565,2509370
0.572,2509396
0.574,2509404
0.59,2509503
0.587,2509602
0.628,2509701
0.565,2509800
0.541,2509909
0.562,2510006
0.601,2510105
0.573,2510204
0.595,2510303
0.572,2510402
0.603,2510501
0.614,2510600
0.584,2510659
0.62,2510709
0.701,2510808
0.587,2510907
0.599,2511004
0.574,2511103
0.59,2511202
0.621,2511301
0.608,2511400
0.579,2511509
0.56,2511608
0.564,2511707
0.595,2511806
0.57,2511905
0.591,2512002
