CodMunIBGE,VALUE (R$)
2904308,1378584
2201309,2551077
2200608,2691562
2411056,4398903
2206308,4802935
1712157,5017632
2411908,5116634
1704600,5275379
1720150,5283738
2200954,5287283
1702703,5434562
1711803,5460620
1715259,5555675
1718659,5561903
1715150,5574806
2205540,5631674
1720853,5661036
2209450,5667710
1720002,5669920
2204154,5675705
1720937,5706903
2210375,5711734
1600253,5715459
1718006,5728867
2210383,5729060
2210979,5734780
1712454,5794888
2200103,5882071
2208601,5884485
1721257,5887840
1718899,5901923
2203859,5951592
1721307,5951891
1703602,5954369
1715002,5965199
1705557,5973863
1703826,5976561
3157500,5980977
2201572,6014698
1711100,6033802
2209500,6064201
2207355,6064508
1713700,6092190
1703305,6092250
1700251,6111728
2207108,6112937
2200806,6117720
1709807,6139462
1718451,6152581
2504850,6160922
1718881,6179321
2211605,6182303
4107520,6199426
1701051,6200692
2210953,6203498
2206001,6209668
2206951,6227231
1713957,6273011
2209609,6275909
1715507,6275969
1704105,6276443
1701101,6300625
2210391,6308853
2207934,6316986
1719004,6319889
2205250,6323452
2207850,6355238
2209757,6356331
1600550,6356772
2207793,6365505
1712405,6382180
1714302,6385933
2513943,6426220
2204600,6432181
2201556,6434517
2209153,6437748
5101209,6440160
4110052,6458883
4311429,6477971
1720309,6481430
1703883,6496578
1715101,6506961
2513851,6507085
2110906,6509854
5107883,6511055
3147501,6512638
2201804,6534873
2208551,6540810
2510659,6551219
5209457,6552977
2201176,6558660
1710904,6558986
2517407,6570503
2404804,6609557
1705102,6618948
1717206,6621658
2211407,6655852
2206753,6657487
2202075,6662128
3103306,6667133
2207553,6671650
3556958,6674187
1705607,6689145
1718402,6695777
5201207,6696047
3103108,6697555
1711951,6713455
2512788,6714414
5213053,6721769
4304853,6722177
1712801,6722651
1600212,6725395
2204006,6731105
1717800,6736374
2209104,6742908
1720101,6745722
4311643,6753737
3172202,6755804
2510600,6762784
1703073,6764643
2202737,6778990
2211506,6779369
3146602,6791589
2204105,6794803
2203800,6795732
5204201,6799684
2501153,6811700
1718808,6815795
3165800,6822938
2512606,6832001
2500734,6842600
1703107,6843987
2209955,6848948
3164803,6852389
2202802,6852777
1706258,6853160
3118502,6867982
2209807,6876564
4313466,6877679
2510709,6884183
2209351,6884452
2209377,6897279
1720499,6899231
3122801,6900409
2205359,6901203
2504108,6911253
3115607,6912341
3132800,6918373
4116000,6922184
2207306,6922336
2514800,6931833
2509370,6937374
5200159,6938329
4116505,6947043
3165503,6956546
4319364,6958895
5214903,6963809
2514651,6965632
4115903,6968450
2210102,6968707
5213400,6979566
5212907,6981400
3166600,6996747
5220058,7008723
2205300,7010881
5213855,7017535
1712702,7018397
2517100,7022920
3129905,7025098
1708254,7026514
1708304,7029881
3160504,7031447
2201929,7032797
4123600,7038506
1718501,7038630
4110300,7039538
3115409,7043203
4106100,7048061
2505501,7061282
2515203,7064411
2205581,7067265
2515609,7076783
2210359,7077569
2202711,7085469
4201802,7087701
2203420,7097552
4322186,7109292
4300661,7111176
4311239,7121376
2210938,7133621
5214804,7136411
2506202,7140992
1703891,7153829
5200506,7153931
2208874,7155878
3149408,7159258
3159407,7161896
2516151,7177749
2211704,7179993
2411429,7181982
2209856,7184384
2209401,7195364
2403756,7198070
2513968,7205011
3163607,7208527
4314787,7214819
2513927,7219138
2514602,7220882
3117207,7221953
4207858,7222851
2506509,7223409
3167004,7223918
2201988,7224251
2806909,7225173
2505907,7225956
2505303,7228127
2403905,7229139
3168051,7230740
3163201,7232266
2202251,7238687
3127354,7238963
3145703,7241035
3503950,7241839
2209302,7246159
4218954,7249704
2205607,7252462
2211357,7252590
5215801,7252979
5106703,7264927
5209291,7269130
3166402,7270736
1717008,7273426
2414902,7282365
4312625,7283391
2203750,7287575
4115739,7289477
3125200,7290174
2201002,7301626
2514008,7305978
3554656,7307033
3158706,7309893
3110400,7315954
3114907,7321912
4215695,7327250
5203609,7335784
3123403,7336670
4320578,7336967
5105309,7336993
5214879,7352747
3547650,7358416
2512200,7361192
2210904,7370602
5206701,7370964
3103207,7372689
3140407,7374826
4217154,7377869
3137908,7381792
2513984,7381923
2204352,7382063
3153806,7382368
3507209,7391118
4202099,7394282
3167301,7395130
3147808,7395368
4208955,7395456
2202091,7400982
4102752,7403549
5107156,7410017
3547205,7414134
3148806,7415620
4217956,7420100
4309258,7422333
1720655,7432240
3106804,7434037
5220702,7434538
5107404,7438078
4315313,7440344
2513000,7442968
2514552,7443016
2209559,7445659
3504701,7452640
2205599,7455791
3119906,7460896
4317251,7473533
2201945,7476377
3124609,7477660
3145406,7482039
2202851,7482273
3130804,7483008
4306072,7485465
2207959,7502509
4304614,7508459
2407906,7516254
1706506,7520271
3142502,7521437
4315073,7523009
2203255,7524924
2516755,7525359
1716307,7526280
5212600,7526418
4211892,7526708
3162302,7528462
2209005,7533107
5221080,7538781
5210307,7551891
4116604,7561456
5220280,7563226
2512747,7571256
4202578,7571646
3115201,7572060
2406908,7572182
2205565,7576701
2514701,7577315
3102209,7578619
2210052,7580874
2509602,7582178
4205357,7582231
4302378,7586770
2502201,7589297
3126950,7591223
2508554,7591811
1703057,7594083
2503407,7595457
1707306,7599422
2503753,7601964
5219456,7602804
4302055,7603951
4211876,7621278
2209658,7623801
1718907,7635926
3114808,7637872
5212253,7638791
3115904,7642631
3119708,7643777
1718840,7644020
4322343,7645073
2200277,7651570
4316733,7651761
4204756,7653011
2501351,7654318
3143708,7655015
2510501,7655308
5207105,7656149
2210201,7664855
4215059,7666262
4124202,7666758
3127370,7667265
2414308,7667431
4103156,7674782
5219506,7676606
3153301,7679865
5203939,7682051
3161056,7683457
5210158,7684453
3119005,7684730
3127388,7689925
3161601,7694693
3546256,7696280
2203404,7696299
3121902,7697420
4308052,7697591
4318432,7699686
3165602,7707578
3155207,7710461
4113106,7716288
2207751,7717720
2409209,7719299
4101853,7721181
3170305,7723845
4112603,7734165
5200902,7735978
2511004,7738675
3160603,7742302
2502300,7747665
4308250,7749690
5214705,7751252
4317954,7753170
2202133,7754032
5212055,7754186
5106455,7761614
3156106,7762963
3150109,7766364
1701309,7769789
3125804,7772521
2500577,7774359
2200459,7776088
2517209,7776498
1715705,7778889
5206800,7787177
5107198,7791358
2210623,7792926
2415008,7793057
2205516,7795939
4215604,7797869
3533106,7798346
5206503,7803645
5209606,7809883
3109253,7816143
4215687,7816480
2508703,7823877
2504207,7825770
2406403,7826289
4110656,7826470
3156205,7835660
4128302,7837637
3150000,7843304
3143153,7846069
2400406,7847061
2406304,7849223
4109104,7849449
3133907,7849696
4100459,7852055
3544707,7852406
2504074,7855854
3161650,7855948
1718709,7857824
2407252,7859170
2201408,7863309
3165560,7865150
4314134,7866364
5107297,7868439
4305835,7869597
4214102,7870942
4101150,7871641
5221452,7882884
2207777,7883669
5202809,7885888
4318457,7886353
3507753,7887107
4215752,7889197
3144201,7889661
2202539,7890719
4204459,7891381
1720259,7892859
2508406,7896299
1707553,7896688
2200251,7902749
3123502,7904764
5216908,7905457
3140209,7908574
2203271,7913150
3138302,7913718
3164902,7918756
5221577,7926560
3103603,7930285
4214151,7930564
1718550,7932308
2401859,7932675
3125309,7936232
4309126,7939282
2205458,7939565
3136520,7940679
2508802,7948966
2202174,7949013
4306353,7951508
4319737,7952303
4125456,7956561
4210704,7958520
2202109,7961632
2515708,7968447
4314753,7969540
4209458,7972058
2401909,7972716
2206654,7973537
4209177,7975104
4205191,7979484
3104403,7985746
4111308,7990422
3121704,7992637
2411700,7993839
5108105,8000782
2509339,8015691
4219150,8022923
3555703,8024983
4315149,8028420
3540853,8028654
5212006,8029276
2202729,8032100
2205904,8033088
3555901,8035238
5107263,8035908
3144375,8045667
5201603,8045804
3159704,8046543
4310751,8053154
1718758,8058490
2406809,8066814
4305116,8067995
3123304,8071034
4122107,8071141
1100262,8076031
2205276,8076789
3529104,8077169
4322350,8079441
3554755,8081384
4306130,8085063
2503803,8088754
2206704,8093783
3100401,8094803
2502052,8096251
2206050,8096645
4112900,8096801
3167905,8097522
2912608,8097626
5208103,8099703
1706100,8104133
2200905,8106217
3112059,8108598
3154705,8108639
2512754,8112901
1400282,8124349
2205151,8125021
3514957,8126907
2206506,8128641
5215207,8132194
3120003,8133219
2401503,8137955
4302584,8138435
3136801,8139671
2506608,8140274
5211602,8146236
2410009,8149300
1707207,8153354
5103957,8154039
1702158,8154968
3163300,8155277
4215901,8155332
5209804,8158772
3149002,8158792
2501534,8160497
2206902,8166682
2200053,8168031
3170602,8172733
4312351,8173016
3169059,8181128
3158409,8182060
5218391,8183957
4123105,8184163
2513802,8185956
4103370,8188551
3150901,8191927
2205532,8192345
3119609,8197845
2504702,8199120
1706001,8206740
4318499,8207362
2203354,8207847
4217105,8208281
2510303,8209151
3112208,8210583
2803807,8212152
1711506,8214109
3107000,8214339
2514404,8216141
3149507,8220825
3500808,8223270
3125002,8226148
3160009,8227651
5204607,8230346
4312674,8232441
4315172,8232630
3166501,8233803
2505808,8235275
2918704,8235962
3150307,8237289
4306759,8239473
4215554,8242834
5209408,8246597
4313441,8247200
2408607,8249586
2101939,8249930
3157336,8253284
3103801,8254202
4202081,8256028
4321329,8256088
3104452,8258865
3118106,8261047
3163003,8264348
4210050,8265232
5106273,8268407
4321493,8270124
2802502,8270403
5204557,8273501
4101051,8273840
4322855,8278884
2411601,8281667
3158805,8281960
4117297,8285542
5221007,8286941
1700400,8290029
5221908,8290825
3518008,8292021
2412104,8292977
3145802,8293676
4118303,8301609
3513850,8302433
3126406,8305976
3136603,8308159
4122909,8308261
4312179,8316726
4120333,8318513
3549300,8319942
2209906,8321212
4217758,8322381
2202653,8329991
4202875,8331704
2414704,8332153
4320651,8334626
4205431,8338973
2514453,8338987
2514107,8340231
4205159,8341740
3134301,8345995
3120102,8350145
2413805,8353598
3548302,8354133
4315453,8354492
3107208,8355557
2513208,8355874
4323507,8373619
1712504,8374423
1703909,8376118
3141900,8377451
3522158,8379480
3102506,8381923
3127206,8382058
2208858,8382551
4202156,8385627
4206751,8389408
2910206,8390435
2503100,8398876
5103437,8400744
4305934,8400779
2406155,8401270
4108551,8402875
4119251,8403149
2207207,8406235
5215652,8410569
2409605,8416215
3108701,8416972
3101300,8417086
4205555,8418750
4213153,8418878
2412401,8423234
2205524,8423589
2210631,8423589
2413557,8426535
4306551,8427265
2512762,8430962
2201960,8431116
2707008,8435435
3130002,8435657
3122504,8442137
4315057,8442607
2413300,8443552
4108106,8443556
4306924,8443888
3128253,8445699
4318440,8446528
3123858,8448934
2202752,8450020
3554607,8452018
4113429,8452209
4311270,8454989
4322376,8457747
3135308,8458479
3515657,8463166
2511707,8467408
3549201,8475888
4128807,8479036
2907400,8479362
3116308,8480291
3533809,8480304
2410504,8480496
2107308,8481085
4116406,8481153
2111953,8481753
5206305,8482636
4205175,8483036
5203104,8485424
3527504,8485517
3144904,8486620
5101001,8487081
2411809,8489581
4322558,8496918
5210562,8496923
2500536,8497452
2207405,8503305
4125902,8505622
3114600,8507235
3171402,8508449
4320321,8509153
3111903,8510255
5205703,8514354
4106852,8520767
2514305,8521781
3111705,8521884
2201770,8522189
4310876,8522767
4312138,8523904
4109005,8526265
4315958,8534927
2502706,8535332
2209872,8544366
4309571,8548736
1400605,8548856
4121307,8549608
4102703,8550932
4111605,8559226
3516507,8559730
4117404,8561262
4117214,8565386
4205100,8566399
2503902,8566963
3125507,8568708
3159001,8570079
2209708,8572109
2801900,8572758
5202601,8573910
2504355,8574944
4316428,8580304
5205059,8580680
3128501,8580686
3158607,8584020
4301925,8584951
2104701,8588217
2408508,8593002
3139102,8595513
5219605,8597022
4115507,8597124
4202537,8598434
3150208,8599914
2504504,8601867
2411106,8603856
3153202,8604052
4310850,8606850
2407609,8609836
4317558,8614182
3100807,8614487
2513505,8621437
3549003,8621667
3143807,8621750
3159100,8623295
3127404,8624639
3503356,8625871
4308854,8629726
3122470,8630305
4201653,8632634
3116001,8632852
2805000,8641117
1700301,8642014
3169802,8644078
3527256,8644211
2101806,8644823
4213906,8647601
3553658,8648886
3167707,8649477
3149606,8650392
4323754,8652922
4312443,8653567
3135076,8654882
4300471,8656572
3119807,8658134
3171501,8658438
2404002,8661062
3120839,8671402
3106655,8677862
2210300,8678271
2111573,8678392
4102208,8681824
2509503,8684113
4308433,8685079
3153004,8685124
4114351,8686407
4218855,8690163
4119657,8690794
4122172,8695266
4107124,8698238
2402808,8702928
4106555,8704736
2202117,8714260
2413201,8715347
2205573,8718817
4212601,8720961
3514205,8725309
4210852,8731468
3532843,8734874
3117405,8735279
2515906,8740135
2414753,8743741
3150406,8744886
4312955,8745704
4310462,8745965
3167806,8746052
2410702,8746373
4319711,8749690
3528908,8749746
4124301,8749897
3146206,8762792
2513653,8764017
4212056,8766981
1713601,8771659
2201739,8772199
2201919,8772317
3109600,8773342
5207501,8773662
2401651,8774153
3501509,8782459
4310413,8786170
4212403,8786772
5202353,8796647
5206909,8796857
4210209,8796956
2110807,8797686
3122702,8799001
3164100,8800101
3157302,8804660
2500205,8805656
4306700,8806971
5103809,8808248
2204808,8812026
5107743,8815538
3121506,8819367
4215356,8819608
2501708,8819656
3161502,8822143
4305157,8826649
5216007,8829183
4315131,8829800
3102050,8830045
1703800,8834060
3515806,8834791
5100102,8834835
4103404,8835650
3110202,8842197
3162575,8846781
3543238,8846834
3127057,8848470
2402402,8850109
3551207,8851398
4216354,8852042
3113107,8854916
5206602,8855272
4219408,8857088
2203008,8858604
1702307,8860292
3166006,8860855
3155009,8862235
1707652,8868766
2502904,8870272
3542800,8871683
4217550,8872787
3158102,8875627
4314456,8880897
2400604,8887124
2800100,8888617
2204550,8892177
2919009,8892439
2804706,8892692
2504033,8893351
2209203,8893568
4318051,8894415
1707108,8894561
3536257,8895222
4120200,8895298
4323358,8895766
3122108,8897492
2513307,8898335
4321469,8907258
3155306,8910179
4101655,8911942
2911253,8912429
3130556,8913241
3140605,8916244
3501400,8916492
4321626,8923683
4210555,8925835
3138500,8926082
2508109,8926581
2510402,8926726
3116407,8931536
2501203,8932538
2510204,8933584
5205208,8936217
4304622,8936548
4121356,8938602
3124401,8944602
3529658,8952514
4320453,8954082
2513604,8956032
2403301,8958484
4302154,8961675
4301073,8963643
3171907,8966410
3170651,8972832
1710706,8974900
2106201,8975010
1600055,8975446
2512721,8977213
3163508,8978738
4300554,8979590
2807303,8983438
4302600,8985971
4209201,8988196
1701903,8990336
2502003,8995416
3141207,8997810
2202778,9000096
2410801,9000756
4211256,9003978
3169109,9004663
2107258,9005386
3142304,9005481
3153103,9005665
3142254,9007108
3111150,9007694
4301552,9007990
5106190,9010268
3555208,9021525
3164407,9027939
2414456,9031141
3150539,9032507
3107703,9034135
2204204,9035462
3157278,9039518
2802601,9043625
2405405,9046328
4314555,9049747
3159506,9051495
3141702,9051573
2104628,9055927
3146701,9057270
3144409,9058322
4200556,9059844
2109056,9062444
3166956,9064457
1507466,9064535
1716703,9065008
2413706,9066280
5108857,9073439
2202554,9078522
2910909,9087106
5104500,9091472
4211652,9092524
4120408,9094742
3112109,9101074
4123824,9101929
1703701,9102542
2515930,9103853
3122405,9103952
3110806,9105880
4312377,9109096
3536570,9109269
3114709,9109981
3105301,9113693
1703206,9114308
3148202,9121349
3160801,9121494
4318614,9121952
2515807,9122579
3143609,9127766
3138708,9128976
4312427,9134805
3121001,9136499
4319752,9137489
3160207,9137576
3126752,9139735
4205605,9140491
1600204,9144884
4301859,9145517
2514206,9147602
4201901,9152707
4103479,9158660
2507804,9162545
2101350,9163943
2505204,9166639
2405900,9167009
4319703,9168935
3105707,9169771
3171154,9171438
4300570,9171457
4120101,9173676
2209971,9174343
5220264,9182234
3152131,9184614
3122603,9184828
3145505,9188312
4312302,9188667
4209805,9195542
4320859,9201395
3162658,9201521
2205854,9202974
4320354,9205132
2803104,9207043
3136579,9208733
3115474,9213163
3162609,9220627
1720804,9222817
2408805,9224919
5204953,9226312
3155108,9227360
1716653,9230668
3145372,9233094
2505600,9238100
3140100,9242784
4214300,9247797
3532868,9249848
4307054,9250036
3136553,9251511
2105906,9256587
3510104,9260542
3515129,9261148
2801603,9274699
2918902,9275388
2505279,9277495
3128808,9278056
3138674,9280093
2500775,9282258
4201109,9283571
2502607,9288338
4318424,9289143
3125408,9289573
2801108,9290907
5221809,9297979
4312385,9304277
5108204,9309447
3533304,9317440
2200707,9319196
5107750,9319528
4206801,9319719
4305371,9319723
4215208,9333402
5213772,9334597
4211850,9336245
2509396,9338016
3144359,9341682
3135902,9350476
3160900,9354406
2410603,9356366
2505352,9361351
2502102,9364316
3146255,9364640
4122651,9364657
3534500,9367187
3108503,9368683
3105202,9370353
5108808,9374631
4112306,9378988
2512804,9382254
3127909,9382270
4310652,9383135
3101631,9384878
3148905,9386068
2206670,9386241
3163904,9387360
4322327,9390586
4307450,9395951
4321832,9396406
2111672,9398172
2512077,9400995
2208700,9402688
2510006,9403775
5219407,9405426
2403806,9407136
3163805,9408011
5218706,9410123
3513306,9414835
1721109,9415885
5203962,9423114
3166105,9425882
4305587,9426599
3120607,9427648
2206696,9427670
4207759,9427688
4323457,9428886
4124004,9430216
5106851,9431728
4126702,9433990
2908804,9434876
5214861,9439835
2401602,9439937
2409506,9440090
2403400,9441209
5100508,9444080
2900603,9446016
3101409,9446372
2406205,9447426
3113800,9447511
3123528,9449646
5215900,9449875
3162252,9454660
3171071,9456159
4215075,9457873
4312005,9459952
3122900,9461114
4110904,9468438
4316972,9470921
3115706,9473391
3121407,9477886
3102407,9485598
4119707,9485951
3146750,9488532
3150604,9489660
4313490,9491150
4125555,9494169
3530409,9495556
2704906,9497763
5208152,9501503
3112653,9502688
4305850,9503610
5210604,9504698
2505402,9505009
3507159,9505102
2205953,9505423
4317756,9506701
2204907,9507688
5108303,9511955
2405207,9512092
5101605,9514092
3536901,9514817
3505005,9518307
4306320,9524421
3164431,9525326
3535903,9529179
4212239,9530020
2206357,9530656
4310900,9537123
4200051,9537987
4304101,9540476
3540101,9548923
5203575,9550221
4323606,9552517
2802205,9563536
4202701,9563660
5219100,9565837
2409332,9567594
2110658,9575441
4322152,9581292
4103958,9585745
4103024,9589897
3105509,9591455
1506401,9596544
4107553,9601611
2807006,9601874
5106208,9602394
3136108,9605595
3520806,9605887
3129400,9606783
4217253,9608037
3549250,9608287
4304952,9608835
3144672,9610571
4128658,9616822
4322525,9618166
2204659,9620104
2202083,9621252
1717909,9628518
3165578,9633902
3514924,9637741
5106315,9638258
3124708,9639740
5219738,9644078
3108107,9645234
4306379,9645440
4113403,9646467
3160959,9647743
5106653,9657108
3159308,9657362
4204178,9664335
2210656,9666674
4306452,9667162
1718865,9668342
1715754,9671082
2508505,9675684
5220686,9685283
4320230,9686693
4202438,9690836
4313334,9693425
2507606,9698192
2111250,9699289
4319125,9702897
4116307,9703286
3138351,9706687
2411007,9711735
3150158,9714450
2515005,9716130
2922805,9721649
4106704,9722890
3136959,9726152
4200754,9726560
3139250,9727837
3137304,9729892
3163102,9732258
4313425,9734218
1400233,9736476
2931103,9737502
3138682,9742183
4301958,9746849
3140308,9747141
2503605,9747760
2514909,9753472
3129202,9755382
3110103,9760567
3546108,9763061
3153707,9763151
2407401,9764455
3113602,9766585
4307864,9770562
5215256,9776619
4203154,9778959
3158508,9780422
3101201,9785288
3544400,9786184
3148400,9788282
2406007,9788328
5205521,9788981
5213905,9799072
2412708,9801191
3135001,9803632
2913309,9805777
5104906,9810706
4210902,9812753
3165404,9815687
4107306,9819017
3145851,9821594
2516805,9826784
3129657,9827436
3157658,9831641
3141306,9832880
2515971,9834413
3541109,9837008
3547106,9837702
3171709,9839384
2109759,9839434
4307831,9840557
4315552,9840959
4124905,9845787
3112406,9847585
4305439,9849103
4213351,9850478
3118908,9853231
4313086,9855905
2203107,9864160
4120309,9864725
2513158,9873570
3157609,9876624
4305871,9881640
4318465,9891267
3153509,9891527
1714203,9900671
4305959,9906289
4303202,9909380
2909505,9921358
4213005,9924875
3161403,9925879
4323705,9926857
3138906,9927695
3120870,9928033
4126652,9930909
3131109,9931964
2410207,9934096
3545100,9939404
4200309,9941353
3135704,9952446
3154408,9954554
3527702,9955449
2413102,9957369
3528858,9958368
4122800,9961757
2109239,9963165
2504157,9963260
3167509,9965304
2111631,9969296
5215405,9970613
3156304,9970747
4214904,9972741
3154150,9973758
4303301,9974675
3130606,9983005
3508900,9984463
3165206,9985530
1710508,9985607
2111722,9986359
2112274,9989178
3125606,9992382
2507408,9994470
2202059,9995046
4311130,9996949
1722081,9998376
3164472,10001145
4218103,10001416
4310306,10004113
4110003,10006326
4311734,10006756
3156452,10009591
3120409,10013889
3161205,10014590
3532702,10015654
2509156,10016195
5102694,10016428
3531001,10017917
1501253,10020469
2410900,10021108
4311791,10030096
1400407,10030910
4311981,10036589
3160108,10043339
3534104,10044569
4121257,10047955
4107801,10057623
2100550,10059381
2402907,10061450
2205557,10063274
2100105,10063946
4204152,10064365
4302238,10066138
4204194,10067312
3105004,10070256
5212709,10079486
4110409,10087293
2201051,10087720
3116902,10089763
4306973,10097323
3165909,10097863
3132602,10100135
5108352,10100445
5212956,10103504
3167400,10104123
4306429,10108710
4113452,10124221
2101970,10126993
4314498,10131137
5207352,10133240
3527801,10138056
2105658,10138493
3520608,10141647
4306304,10143103
2408409,10145620
1600238,10146137
4114708,10150309
2405009,10153842
3168309,10158268
4108700,10158330
4321634,10158693
2910776,10160449
5222203,10161556
3507456,10163839
4113759,10164138
2106672,10171721
3157401,10172286
4219358,10172907
3516804,10176322
4300455,10182800
2509800,10199501
2505006,10199649
4305975,10203972
4100103,10204860
4313607,10204868
3127339,10208548
4307203,10208886
4206603,10214475
4107702,10214687
3142403,10222518
3522000,10224531
4100905,10226155
2607109,10226203
2201606,10226224
2516409,10230352
3522653,10234286
3135456,10234473
3547403,10236699
2413003,10238810
5214101,10240058
1707702,10244948
5200829,10245277
5221197,10245640
4319372,10248965
4303673,10251320
3156502,10252002
2100402,10258244
2403004,10272499
3555307,10274775
4202503,10285891
2407302,10286614
3120151,10287607
1101468,10292514
3515301,10297229
4323101,10297697
2805208,10304224
4212700,10304430
2512036,10312034
4310538,10314737
3505351,10317297
3155900,10319372
4103222,10319734
3116506,10324391
3531704,10330343
2507200,10331646
3543204,10335626
4111704,10335864
2208650,10340443
2806503,10343482
5208509,10345237
2202026,10348796
3104809,10353296
3117836,10354874
3122207,10358794
4200606,10366693
3127503,10372624
1400704,10374803
3134509,10375707
2409704,10381976
3103702,10385091
1101476,10391021
4320602,10396054
4118600,10396982
3134103,10397475
5207600,10398803
4115457,10403170
3129004,10405856
2208908,10407500
3129608,10410213
4313011,10411374
3521150,10417345
3533254,10418375
3127305,10420202
3170578,10425202
4207403,10426047
1717503,10426294
4109757,10426960
2104073,10431385
4310702,10433226
4209508,10437180
1101450,10440264
3121308,10440857
3140530,10454263
